,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
0,01/02/2016,1,0,0,0
1,01/02/2019,5,0,0,0
2,01/02/2020,1,0,0,0
3,01/02/2021,6,12,0,0
4,01/02/2023,4,10,0,0
5,01/03/2017,3,0,0,0
6,01/03/2019,8,0,0,0
7,01/03/2020,3,2,0,0
8,01/03/2021,4,0,0,0
9,01/03/2022,4,2,0,0
10,01/03/2023,8,0,0,0
11,01/04/2014,1,0,0,0
12,01/04/2015,2,0,0,0
13,01/04/2019,3,0,0,0
14,01/04/2020,7,0,0,0
15,01/04/2021,1,12,45,0
16,01/04/2022,2,0,0,0
17,01/05/2019,1,2,0,0
18,01/05/2020,1,0,0,0
19,01/06/2015,3,18,120,36
20,01/06/2018,2,0,0,0
21,01/06/2019,2,0,0,0
22,01/06/2020,3,0,0,0
23,01/06/2021,2,0,0,0
24,01/06/2022,4,40,72,60
25,01/06/2023,8,12,0,0
26,01/07/2014,5,0,0,0
27,01/07/2015,14,0,0,0
28,01/07/2019,3,9,0,0
29,01/07/2020,4,210,100,180
30,01/07/2021,6,0,0,0
31,01/07/2022,10,16,0,0
32,01/07/2023,3,0,0,0
33,01/08/2017,2,0,0,0
34,01/08/2018,1,0,0,0
35,01/08/2019,8,0,0,0
36,01/08/2021,2,0,0,0
37,01/08/2022,5,0,0,0
38,01/08/2023,4,0,0,0
39,01/09/2017,1,0,0,0
40,01/09/2019,1,0,0,0
41,01/09/2021,7,0,10,0
42,01/10/2015,1,0,0,0
43,01/10/2017,1,0,0,0
44,01/10/2018,1,0,0,0
45,01/10/2020,3,0,0,0
46,01/10/2021,3,8,0,0
47,01/11/2017,1,0,0,0
48,01/11/2018,2,0,0,0
49,01/11/2021,3,2,0,0
50,01/11/2022,11,30,72,50
51,01/12/2014,7,40,69,30
52,01/12/2015,2,0,0,0
53,01/12/2018,2,0,0,0
54,01/12/2020,1,0,0,0
55,01/12/2021,1,0,0,0
56,01/12/2022,5,0,36,0
57,02/01/2019,2,16,40,0
58,02/01/2020,1,30,24,10
59,02/01/2021,1,0,0,0
60,02/01/2023,1,0,0,0
61,02/02/2015,1,0,0,0
62,02/02/2019,1,9,0,0
63,02/02/2020,2,92,60,25
64,02/02/2022,1,6,0,2
65,02/02/2023,5,48,30,24
66,02/03/2015,1,0,20,60
67,02/03/2017,1,0,0,0
68,02/03/2018,1,0,0,0
69,02/03/2019,1,0,0,0
70,02/03/2020,2,0,0,0
71,02/03/2022,3,32,0,0
72,02/03/2023,5,0,0,0
73,02/04/2015,3,250,96,75
74,02/04/2018,3,0,0,0
75,02/04/2019,1,4,0,0
76,02/04/2020,1,200,192,150
77,02/04/2021,1,0,0,0
78,02/04/2023,1,20,20,50
79,02/05/2018,2,0,0,0
80,02/05/2019,3,0,0,0
81,02/05/2020,2,0,0,0
82,02/06/2015,1,60,15,0
83,02/06/2016,6,0,0,0
84,02/06/2017,1,0,0,0
85,02/06/2020,5,46,48,0
86,02/06/2021,6,0,0,0
87,02/06/2022,7,0,0,0
88,02/06/2023,6,0,0,0
89,02/07/2015,3,0,0,0
90,02/07/2018,2,0,0,0
91,02/07/2019,4,0,0,0
92,02/07/2020,4,265,216,150
93,02/07/2021,7,30,0,160
94,02/07/2022,1,0,0,0
95,02/07/2023,1,20,0,0
96,02/08/2015,1,48,18,60
97,02/08/2017,5,0,0,0
98,02/08/2018,1,0,0,0
99,02/08/2019,5,0,0,0
100,02/08/2021,6,51,24,0
101,02/08/2022,2,360,180,900
102,02/08/2023,6,0,0,0
103,02/10/2014,1,0,0,0
104,02/10/2017,3,0,0,0
105,02/10/2018,1,0,0,0
106,02/10/2020,3,90,48,24
107,02/10/2021,2,8,0,0
108,02/11/2018,2,0,0,0
109,02/11/2020,3,24,0,0
110,02/11/2021,3,16,0,0
111,02/11/2022,5,0,0,0
112,02/12/2014,6,186,174,8
113,02/12/2018,1,0,0,0
114,02/12/2020,2,0,6,0
115,02/12/2021,7,8,0,0
116,02/12/2022,3,36,0,0
117,03/01/2019,3,0,45,0
118,03/01/2020,2,0,0,0
119,03/01/2021,1,0,0,0
120,03/01/2023,9,75,36,60
121,03/02/2015,1,16,6,0
122,03/02/2021,1,0,0,0
123,03/02/2023,9,0,0,0
124,03/03/2015,1,0,0,0
125,03/03/2017,3,0,0,0
126,03/03/2020,1,0,0,0
127,03/03/2021,1,0,0,0
128,03/03/2022,3,48,24,18
129,03/03/2023,5,0,0,0
130,03/04/2015,4,0,0,0
131,03/04/2017,1,0,0,0
132,03/04/2018,4,0,0,0
133,03/04/2019,1,0,0,0
134,03/04/2020,1,0,0,0
135,03/04/2021,1,0,0,0
136,03/04/2022,1,0,0,0
137,03/04/2023,3,2,2,0
138,03/05/2017,8,0,0,0
139,03/05/2018,2,0,0,0
140,03/05/2019,5,0,0,0
141,03/05/2021,1,18,64,24
142,03/05/2023,2,0,0,0
143,03/06/2014,8,0,0,0
144,03/06/2015,1,0,0,0
145,03/06/2018,2,0,0,0
146,03/06/2019,3,0,0,0
147,03/06/2020,1,0,0,0
148,03/06/2021,10,10,0,0
149,03/06/2022,1,0,0,0
150,03/07/2015,3,0,0,0
151,03/07/2017,1,0,0,0
152,03/07/2018,1,0,0,0
153,03/07/2019,3,178,0,120
154,03/07/2020,1,60,0,0
155,03/07/2021,1,0,0,0
156,03/07/2022,1,0,0,0
157,03/07/2023,5,0,0,0
158,03/08/2015,6,0,10,0
159,03/08/2016,1,0,0,0
160,03/08/2017,2,0,0,0
161,03/08/2020,1,0,0,0
162,03/08/2021,3,12,0,0
163,03/08/2023,5,96,60,100
164,03/09/2014,4,0,0,0
165,03/09/2015,11,0,0,0
166,03/09/2019,5,0,0,0
167,03/09/2020,9,100,50,0
168,03/10/2014,1,0,0,0
169,03/10/2016,1,0,0,0
170,03/10/2018,5,0,0,0
171,03/10/2020,1,27,0,0
172,03/10/2021,2,2,4,0
173,03/10/2022,4,9,0,0
174,03/11/2014,4,0,0,0
175,03/11/2016,2,0,0,0
176,03/11/2018,1,0,48,10
177,03/11/2020,4,0,0,0
178,03/11/2021,4,10,105,20
179,03/11/2022,5,0,0,0
180,03/12/2014,4,25,0,0
181,03/12/2018,3,0,0,0
182,03/12/2020,4,100,0,0
183,03/12/2021,3,6,9,9
184,03/12/2022,2,3,0,0
185,04/01/2019,2,0,0,0
186,04/01/2021,4,156,144,120
187,04/01/2022,2,6,0,0
