,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
0,2013-07-09,1,50,30,25
1,2013-10-10,1,0,0,0
2,2013-12-10,1,0,0,0
3,2013-12-24,1,216,126,108
4,2014-02-21,1,15,0,0
5,2014-03-11,5,0,0,0
6,2014-03-12,2,0,0,0
7,2014-03-18,1,0,0,0
8,2014-03-19,1,0,0,0
9,2014-03-20,1,0,0,0
10,2014-03-25,1,0,0,0
11,2014-03-27,3,0,0,0
12,2014-03-28,7,0,0,0
13,2014-04-01,1,0,0,0
14,2014-04-04,1,0,0,0
15,2014-04-07,10,2,0,0
16,2014-04-08,2,0,0,0
17,2014-04-14,6,0,0,0
18,2014-04-15,1,0,0,0
19,2014-04-17,2,8,0,0
20,2014-04-21,2,0,0,0
21,2014-04-23,7,0,0,0
22,2014-04-24,4,0,0,0
23,2014-04-25,3,80,30,0
24,2014-04-29,2,0,0,0
25,2014-05-09,2,0,0,0
26,2014-05-12,2,0,0,0
27,2014-05-13,2,0,0,0
28,2014-05-14,3,0,0,0
29,2014-05-19,3,0,0,0
30,2014-05-21,3,16,16,0
31,2014-05-23,4,0,0,0
32,2014-05-26,1,0,0,0
33,2014-05-27,3,0,0,0
34,2014-05-30,3,0,0,0
35,2014-06-03,8,0,0,0
36,2014-06-09,1,0,0,0
37,2014-06-12,1,0,0,0
38,2014-06-17,3,4,0,0
39,2014-06-18,4,0,0,0
40,2014-06-20,1,0,0,0
41,2014-06-23,2,0,0,0
42,2014-06-25,6,0,0,0
43,2014-07-01,5,0,0,0
44,2014-07-04,2,3,0,0
45,2014-07-07,4,2,0,0
46,2014-07-09,1,0,0,0
47,2014-07-14,1,0,0,0
48,2014-07-15,1,0,0,0
49,2014-07-21,1,24,0,0
50,2014-07-23,1,0,0,0
51,2014-07-25,3,0,0,0
52,2014-07-28,3,0,0,0
53,2014-07-30,1,0,0,0
54,2014-07-31,4,0,0,0
55,2014-08-07,4,0,0,0
56,2014-08-08,1,0,0,0
57,2014-08-12,2,0,0,0
58,2014-08-14,3,0,0,0
59,2014-08-18,3,0,0,0
60,2014-08-21,1,0,0,0
61,2014-08-25,3,0,0,0
62,2014-08-26,4,0,0,0
63,2014-08-27,2,0,0,0
64,2014-08-29,7,3,0,0
65,2014-09-03,4,0,0,0
66,2014-09-09,1,0,0,0
67,2014-09-11,5,0,0,0
68,2014-09-12,2,0,0,0
69,2014-09-16,1,0,0,0
70,2014-09-17,1,0,0,0
71,2014-09-18,1,0,0,0
72,2014-09-23,2,0,0,0
73,2014-09-26,6,0,0,0
74,2014-09-30,1,0,0,0
75,2014-10-02,1,0,0,0
76,2014-10-03,1,0,0,0
77,2014-10-08,8,0,0,0
78,2014-10-10,2,0,0,0
79,2014-10-16,1,0,0,0
80,2014-10-17,7,168,24,0
81,2014-10-21,3,0,0,0
82,2014-10-22,4,9,0,0
83,2014-10-23,5,18,0,0
84,2014-10-24,7,72,0,0
85,2014-10-27,13,48,0,0
86,2014-10-28,2,0,0,0
87,2014-10-29,6,0,0,0
88,2014-10-30,5,16,117,30
89,2014-10-31,7,39,80,32
90,2014-11-03,4,0,0,0
91,2014-11-04,6,0,0,0
92,2014-11-05,8,0,0,0
93,2014-11-06,6,56,9,6
94,2014-11-07,3,0,0,0
95,2014-11-10,8,60,0,0
96,2014-11-11,2,0,0,0
97,2014-11-12,7,0,0,0
98,2014-11-13,2,0,0,0
99,2014-11-14,3,0,0,0
100,2014-11-17,4,100,0,0
101,2014-11-18,6,0,0,0
102,2014-11-19,8,27,32,0
103,2014-11-20,2,16,0,0
104,2014-11-21,11,27,0,0
105,2014-11-24,2,0,0,12
106,2014-11-25,9,1,0,0
107,2014-11-26,7,36,6,0
108,2014-11-27,3,0,0,0
109,2014-11-28,1,0,0,0
110,2014-12-01,7,40,69,30
111,2014-12-02,6,186,174,8
112,2014-12-03,4,25,0,0
113,2014-12-04,6,0,0,0
114,2014-12-05,10,3,5,4
115,2014-12-08,7,96,0,0
116,2014-12-10,5,0,0,0
117,2014-12-11,3,0,0,0
118,2014-12-12,4,96,46,24
119,2014-12-15,11,32,0,0
120,2014-12-16,4,6,2,1
121,2014-12-17,5,80,144,75
122,2014-12-18,4,36,12,0
123,2014-12-19,3,24,12,0
124,2014-12-22,7,48,25,30
125,2014-12-23,3,0,4,0
126,2014-12-24,8,393,396,290
127,2014-12-25,5,120,90,99
128,2014-12-26,3,21,0,0
129,2014-12-27,6,0,0,0
130,2014-12-29,2,0,0,0
131,2014-12-30,6,0,0,0
132,2014-12-31,11,10,0,0
133,2015-01-05,2,0,0,0
134,2015-01-06,5,90,120,20
135,2015-01-07,3,0,0,0
136,2015-01-08,2,0,0,0
137,2015-01-09,1,0,0,0
138,2015-01-12,1,0,60,25
139,2015-01-13,10,0,3,0
140,2015-01-14,3,0,0,0
141,2015-01-15,5,0,0,0
142,2015-01-16,5,32,40,0
143,2015-01-17,1,0,0,0
144,2015-01-19,4,48,12,0
145,2015-01-20,3,209,140,40
146,2015-01-21,5,0,24,0
147,2015-01-22,2,40,25,40
148,2015-01-23,5,0,0,0
149,2015-01-26,6,6,0,0
150,2015-01-27,7,24,0,0
151,2015-01-28,4,0,0,0
152,2015-01-29,6,80,0,0
153,2015-01-30,4,0,0,0
154,2015-02-02,1,0,0,0
155,2015-02-03,1,16,6,0
