,TIME,trade_index,fiscal_index,monetary_index
0,01/01/2014,36,0,0
1,01/01/2016,0,0,0
2,01/01/2017,0,2,0
3,01/01/2020,0,0,0
4,01/01/2021,9,0,0
5,01/01/2022,108,0,0
6,01/01/2023,0,0,0
7,01/02/2012,0,0,0
8,01/02/2013,0,0,0
9,01/02/2015,0,0,0
10,01/02/2016,0,0,0
11,01/02/2017,0,0,0
12,01/02/2019,60,0,0
13,01/02/2020,36,0,0
14,01/02/2021,0,0,0
15,01/02/2022,64,0,0
16,01/02/2023,0,0,0
17,01/03/2012,0,3,12
18,01/03/2013,0,0,0
19,01/03/2015,100,40,32
20,01/03/2017,0,0,0
21,01/03/2018,0,0,0
22,01/03/2019,0,0,0
23,01/03/2020,0,0,0
24,01/03/2021,24,12,0
25,01/03/2022,84,0,16
26,01/03/2023,752,30,81
27,01/04/2013,0,0,0
28,01/04/2014,60,0,0
29,01/04/2015,0,0,0
30,01/04/2016,0,0,0
31,01/04/2017,48,0,0
32,01/04/2019,0,0,0
33,01/04/2020,0,0,0
34,01/04/2021,63,6,12
35,01/04/2022,240,32,24
36,01/04/2023,0,0,0
37,01/05/2012,0,0,0
38,01/05/2016,36,0,12
39,01/05/2019,0,0,0
40,01/05/2020,0,0,0
41,01/05/2021,0,0,0
42,01/05/2022,0,0,0
43,01/06/2014,90,0,0
44,01/06/2015,24,0,0
45,01/06/2016,0,0,0
46,01/06/2017,0,8,8
47,01/06/2019,216,90,30
48,01/06/2020,90,6,0
49,01/06/2021,24,0,0
50,01/06/2022,284,16,72
51,01/06/2023,144,0,36
52,01/07/2013,0,0,0
53,01/07/2014,72,4,48
54,01/07/2015,64,0,0
55,01/07/2016,0,0,0
56,01/07/2017,0,0,0
57,01/07/2019,0,0,0
58,01/07/2020,0,0,0
59,01/07/2021,68,12,4
60,01/07/2022,90,0,32
61,01/08/2012,0,0,0
62,01/08/2013,0,0,0
63,01/08/2014,0,20,0
64,01/08/2015,0,0,0
65,01/08/2016,0,0,0
66,01/08/2017,0,0,0
67,01/08/2018,12,0,6
68,01/08/2019,48,24,0
69,01/08/2020,16,0,0
70,01/08/2021,28,0,0
71,01/08/2022,483,92,236
72,01/09/2015,24,0,0
73,01/09/2016,0,0,0
74,01/09/2017,0,0,0
75,01/09/2018,0,0,0
76,01/09/2019,0,0,0
77,01/09/2020,16,0,0
78,01/09/2021,247,0,0
79,01/09/2022,352,20,36
80,01/10/2013,160,20,16
81,01/10/2014,6,0,0
82,01/10/2015,9,12,18
83,01/10/2016,0,0,0
84,01/10/2019,108,12,0
85,01/10/2020,0,0,0
86,01/10/2021,74,12,0
87,01/10/2022,40,0,0
88,01/11/2012,6,0,0
89,01/11/2013,0,0,0
90,01/11/2015,126,18,9
91,01/11/2016,0,0,0
92,01/11/2017,0,0,0
93,01/11/2018,120,0,0
94,01/11/2019,4,0,0
95,01/11/2020,18,0,0
96,01/11/2021,49,0,0
97,01/11/2022,298,22,236
98,01/12/2013,0,0,0
99,01/12/2014,0,0,0
100,01/12/2016,24,0,0
101,01/12/2017,0,0,0
102,01/12/2020,2,0,0
103,01/12/2021,12,0,2
104,01/12/2022,136,0,48
105,02/01/2012,0,0,0
106,02/01/2014,0,0,0
107,02/01/2017,80,0,0
108,02/01/2018,0,0,0
109,02/01/2019,0,0,0
110,02/01/2020,48,0,0
111,02/01/2022,54,0,0
112,02/01/2023,0,0,0
113,02/02/2012,0,0,0
114,02/02/2013,0,0,0
115,02/02/2014,0,0,0
116,02/02/2015,0,0,0
117,02/02/2017,0,0,0
118,02/02/2018,0,0,0
119,02/02/2019,0,0,0
120,02/02/2020,4,0,0
121,02/02/2021,16,0,0
122,02/02/2023,218,0,20
123,02/03/2014,0,0,0
124,02/03/2015,0,0,0
125,02/03/2016,36,0,0
126,02/03/2017,180,50,120
127,02/03/2018,100,0,0
128,02/03/2019,0,0,0
129,02/03/2020,0,0,0
130,02/03/2021,48,0,0
131,02/03/2022,16,0,0
132,02/03/2023,0,0,0
133,02/04/2013,360,120,136
134,02/04/2014,0,0,0
135,02/04/2015,0,0,0
136,02/04/2018,0,0,0
137,02/04/2019,0,0,0
138,02/04/2020,0,0,0
139,02/04/2021,288,100,108
140,02/04/2022,0,0,0
141,02/04/2023,0,0,0
142,02/05/2012,0,0,0
143,02/05/2013,0,0,0
144,02/05/2014,0,0,0
145,02/05/2019,6,0,2
146,02/05/2022,0,0,0
147,02/06/2014,0,0,0
148,02/06/2015,48,0,0
149,02/06/2016,158,15,0
150,02/06/2017,0,0,0
151,02/06/2018,0,0,0
152,02/06/2019,0,0,0
153,02/06/2020,0,0,0
154,02/06/2021,3,0,0
155,02/06/2022,48,0,0
156,02/06/2023,51,0,0
157,02/07/2012,0,0,0
158,02/07/2013,0,0,0
159,02/07/2014,120,32,0
160,02/07/2015,0,0,0
161,02/07/2018,0,0,0
162,02/07/2019,60,8,0
163,02/07/2020,12,0,12
164,02/07/2021,300,80,50
165,02/08/2013,0,0,0
166,02/08/2014,0,0,0
167,02/08/2015,56,0,0
168,02/08/2016,0,0,0
169,02/08/2017,0,0,0
170,02/08/2018,360,90,324
171,02/08/2019,220,360,180
172,02/08/2020,60,0,0
173,02/08/2021,420,30,0
174,02/08/2022,204,72,72
175,02/09/2014,0,0,0
176,02/09/2015,0,0,0
177,02/09/2021,60,0,0
178,02/09/2022,0,0,0
179,02/10/2012,80,0,0
180,02/10/2013,0,0,0
181,02/10/2014,0,0,0
182,02/10/2015,0,0,0
183,02/10/2017,16,0,0
184,02/10/2018,120,20,48
185,02/10/2019,32,0,0
186,02/10/2020,0,0,0
187,02/10/2021,0,0,0
188,02/11/2012,0,0,0
189,02/11/2013,0,0,0
190,02/11/2014,0,0,0
191,02/11/2015,32,0,0
192,02/11/2016,0,0,0
193,02/11/2017,0,0,0
194,02/11/2018,0,0,0
195,02/11/2019,0,0,0
196,02/11/2020,149,90,72
197,02/11/2021,85,0,0
198,02/11/2022,0,0,0
199,02/12/2013,12,0,0
200,02/12/2014,90,50,25
201,02/12/2015,0,0,0
202,02/12/2016,0,0,0
203,02/12/2019,0,0,0
204,02/12/2020,40,4,4
205,02/12/2021,46,0,0
206,02/12/2022,722,142,124
207,03/01/2011,0,0,0
208,03/01/2013,0,0,0
209,03/01/2015,0,0,0
210,03/01/2016,40,8,0
211,03/01/2017,16,0,0
212,03/01/2018,0,0,0
213,03/01/2019,0,0,0
214,03/01/2020,200,15,0
215,03/01/2022,18,0,0
216,03/01/2023,399,186,162
217,03/02/2012,0,0,0
218,03/02/2014,0,20,30
219,03/02/2015,0,0,0
220,03/02/2016,0,0,0
221,03/02/2017,0,0,0
222,03/02/2018,0,0,0
223,03/02/2020,16,0,0
224,03/02/2021,69,36,10
225,03/02/2023,172,84,200
226,03/03/2014,0,0,0
227,03/03/2015,0,0,0
228,03/03/2016,0,0,0
229,03/03/2017,2,0,0
230,03/03/2020,14,0,0
231,03/03/2021,540,72,120
232,03/03/2022,632,356,540
233,03/03/2023,272,248,312
234,03/04/2012,0,0,0
235,03/04/2014,8,0,0
236,03/04/2015,0,0,0
237,03/04/2016,84,0,0
238,03/04/2017,125,0,0
239,03/04/2018,312,240,100
240,03/04/2019,120,0,0
241,03/04/2020,52,12,0
242,03/04/2023,206,72,174
243,03/05/2012,0,0,0
244,03/05/2013,0,0,0
245,03/05/2017,0,0,0
246,03/05/2018,0,0,0
247,03/05/2019,0,0,0
248,03/05/2021,4,0,0
249,03/05/2023,0,0,0
250,03/06/2013,0,0,0
