,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
0,2010-05-07,1,0,0,0
1,2011-01-03,1,0,0,0
2,2011-01-08,1,0,0,0
3,2012-01-02,1,0,0,0
4,2012-01-04,6,2,0,0
5,2012-01-05,3,3,0,1
6,2012-01-06,2,20,4,4
7,2012-01-07,1,630,60,50
8,2012-01-11,1,16,0,4
9,2012-01-12,3,0,0,0
10,2012-01-16,2,0,0,0
11,2012-01-17,2,0,0,0
12,2012-01-19,1,0,0,0
13,2012-01-25,4,4,0,36
14,2012-01-29,5,0,0,0
15,2012-01-30,2,18,0,0
16,2012-01-31,3,0,0,0
17,2012-02-01,7,0,0,0
18,2012-02-02,2,0,0,0
19,2012-02-03,5,0,0,0
20,2012-02-06,3,18,0,0
21,2012-02-07,4,8,0,0
22,2012-02-08,9,20,0,6
23,2012-02-09,1,0,0,0
24,2012-02-13,2,36,0,0
25,2012-02-14,15,0,0,0
26,2012-02-15,3,0,0,0
27,2012-02-16,5,0,0,0
28,2012-02-17,8,73,0,32
29,2012-02-21,3,0,0,0
30,2012-02-22,1,24,0,0
31,2012-02-23,2,0,0,0
32,2012-02-24,2,0,0,0
33,2012-02-27,2,60,0,0
34,2012-02-28,1,0,0,0
35,2012-02-29,1,0,0,0
36,2012-03-01,1,0,3,12
37,2012-03-05,3,0,0,0
38,2012-03-06,1,0,0,0
39,2012-03-07,1,0,0,0
40,2012-03-08,2,0,0,0
41,2012-03-09,2,0,0,0
42,2012-03-12,1,0,0,0
43,2012-03-14,2,48,0,0
44,2012-03-15,4,1,0,0
45,2012-03-19,3,42,0,18
46,2012-03-20,1,0,0,0
47,2012-03-21,1,0,0,0
48,2012-03-22,1,48,8,16
49,2012-03-27,1,0,0,0
50,2012-03-28,2,0,0,0
51,2012-03-29,1,0,0,0
52,2012-03-30,3,0,0,0
53,2012-04-03,1,0,0,0
54,2012-04-04,5,0,0,0
55,2012-04-05,1,0,0,0
56,2012-04-06,4,0,0,0
57,2012-04-09,7,0,0,0
58,2012-04-10,4,0,0,0
59,2012-04-11,3,0,0,0
60,2012-04-12,1,0,0,0
61,2012-04-13,1,0,0,0
62,2012-04-20,3,0,0,0
63,2012-04-23,3,0,0,0
64,2012-04-24,5,0,0,0
65,2012-04-25,4,0,0,0
66,2012-04-26,4,0,0,0
67,2012-04-27,3,0,0,0
68,2012-05-01,2,80,0,0
69,2012-05-02,2,0,0,0
70,2012-05-03,1,0,0,0
71,2012-05-04,1,0,0,0
72,2012-05-05,1,0,0,0
73,2012-05-09,2,48,0,0
74,2012-05-11,2,0,0,0
75,2012-05-15,3,0,0,0
76,2012-05-16,2,12,0,0
77,2012-05-18,4,0,0,0
78,2012-05-22,2,0,0,0
79,2012-05-23,4,0,0,0
80,2012-05-24,1,0,0,0
81,2012-05-25,1,0,0,0
82,2012-05-28,2,0,0,0
83,2012-05-29,4,160,0,0
84,2012-05-30,2,0,0,0
85,2012-05-31,1,0,0,0
86,2012-06-04,2,0,0,0
87,2012-06-05,1,0,0,0
88,2012-06-06,1,0,0,0
89,2012-06-07,11,2,0,0
90,2012-06-19,1,0,0,0
91,2012-06-20,1,0,0,0
92,2012-06-22,2,2,2,0
93,2012-06-25,1,0,0,0
94,2012-06-27,1,0,0,0
95,2012-06-28,3,18,0,0
96,2012-07-02,1,0,0,0
97,2012-07-03,1,0,0,0
98,2012-07-04,1,0,0,0
99,2012-07-06,2,0,0,0
100,2012-07-09,5,0,0,0
101,2012-07-10,1,0,0,0
102,2012-07-11,4,360,100,80
103,2012-07-12,1,0,0,0
104,2012-07-13,6,6,0,0
105,2012-07-17,1,8,0,0
106,2012-07-18,1,0,0,0
107,2012-07-19,4,12,0,0
108,2012-07-20,2,0,6,0
109,2012-07-26,1,0,0,0
110,2012-07-27,3,0,0,0
111,2012-08-01,2,0,0,0
112,2012-08-03,1,0,0,0
113,2012-08-07,3,0,0,0
114,2012-08-10,5,80,0,0
115,2012-08-13,2,24,0,0
116,2012-08-14,1,0,0,0
117,2012-08-15,1,0,0,0
