,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
0,sbv.gov.vn,2004-07-05,1,0,0,0
1,sbv.gov.vn,2004-07-14,1,0,0,0
2,sbv.gov.vn,2004-07-20,1,0,0,15
3,sbv.gov.vn,2004-07-22,1,0,0,0
4,sbv.gov.vn,2004-07-29,2,0,0,0
5,sbv.gov.vn,2004-08-01,1,0,3,24
6,sbv.gov.vn,2004-08-16,1,0,0,0
7,sbv.gov.vn,2004-08-25,1,0,0,0
8,sbv.gov.vn,2004-08-26,1,0,0,0
9,sbv.gov.vn,2004-09-12,1,0,0,0
10,sbv.gov.vn,2004-09-13,1,0,0,0
11,sbv.gov.vn,2004-09-23,4,6,0,0
12,sbv.gov.vn,2004-10-14,1,0,0,0
13,sbv.gov.vn,2004-10-21,1,0,0,0
14,sbv.gov.vn,2004-10-31,1,0,0,0
15,sbv.gov.vn,2004-11-10,1,72,0,24
16,sbv.gov.vn,2004-11-16,1,9,0,3
17,sbv.gov.vn,2004-11-29,2,0,0,0
18,sbv.gov.vn,2004-11-30,1,72,0,0
19,sbv.gov.vn,2004-12-01,1,0,0,0
20,sbv.gov.vn,2004-12-02,1,0,9,36
21,sbv.gov.vn,2004-12-07,1,1,0,0
22,sbv.gov.vn,2004-12-08,2,0,0,0
23,sbv.gov.vn,2004-12-14,1,0,0,0
24,sbv.gov.vn,2004-12-15,1,0,0,0
25,sbv.gov.vn,2004-12-22,1,0,0,0
26,sbv.gov.vn,2004-12-23,1,24,0,0
27,sbv.gov.vn,2004-12-29,2,0,0,0
28,sbv.gov.vn,2005-01-04,3,96,0,300
29,sbv.gov.vn,2005-01-05,1,45,0,108
30,sbv.gov.vn,2005-01-06,1,0,0,0
31,sbv.gov.vn,2005-01-10,1,0,0,0
32,sbv.gov.vn,2005-01-13,2,0,0,0
33,sbv.gov.vn,2005-01-25,1,40,0,90
34,sbv.gov.vn,2005-01-27,3,134,1,227
35,sbv.gov.vn,2005-02-01,1,0,0,0
36,sbv.gov.vn,2005-02-02,1,0,0,0
37,sbv.gov.vn,2005-02-17,1,0,0,0
38,sbv.gov.vn,2005-02-23,1,16,8,72
39,sbv.gov.vn,2005-02-28,3,8,2,116
40,sbv.gov.vn,2005-03-02,1,0,3,0
41,sbv.gov.vn,2005-03-08,2,0,0,0
42,sbv.gov.vn,2005-03-16,1,0,0,0
43,sbv.gov.vn,2005-03-17,4,0,0,0
44,sbv.gov.vn,2005-03-22,2,0,0,0
45,sbv.gov.vn,2005-03-24,1,0,0,0
46,sbv.gov.vn,2005-03-28,2,0,0,0
47,sbv.gov.vn,2005-03-30,6,60,10,0
48,sbv.gov.vn,2005-03-31,3,0,0,0
49,sbv.gov.vn,2005-04-03,3,0,0,0
50,sbv.gov.vn,2005-04-05,2,0,0,0
51,sbv.gov.vn,2005-04-07,1,0,0,0
52,sbv.gov.vn,2005-04-12,3,12,0,0
53,sbv.gov.vn,2005-04-13,1,0,0,0
54,sbv.gov.vn,2005-04-17,2,8,4,8
55,sbv.gov.vn,2005-04-18,1,0,0,0
56,sbv.gov.vn,2005-04-20,3,0,0,0
57,sbv.gov.vn,2005-04-21,3,24,24,120
58,sbv.gov.vn,2005-05-03,1,0,0,0
59,sbv.gov.vn,2005-05-04,2,0,0,0
60,sbv.gov.vn,2005-05-05,1,2,0,8
61,sbv.gov.vn,2005-05-09,2,0,0,0
62,sbv.gov.vn,2005-05-12,2,0,0,0
63,sbv.gov.vn,2005-05-19,1,0,0,0
64,sbv.gov.vn,2005-05-22,1,0,0,0
65,sbv.gov.vn,2005-05-25,2,0,0,0
66,sbv.gov.vn,2005-05-29,1,16,0,30
67,sbv.gov.vn,2005-06-06,1,16,0,108
68,sbv.gov.vn,2005-06-09,2,0,0,0
69,sbv.gov.vn,2005-06-13,1,30,0,0
70,sbv.gov.vn,2005-06-16,1,0,0,0
71,sbv.gov.vn,2005-06-19,1,0,0,0
72,sbv.gov.vn,2005-06-22,1,0,0,0
73,sbv.gov.vn,2005-06-23,1,2,0,0
74,sbv.gov.vn,2005-06-29,1,0,0,24
75,sbv.gov.vn,2005-07-05,1,0,0,0
76,sbv.gov.vn,2005-07-17,1,12,0,0
77,sbv.gov.vn,2005-07-18,1,0,0,0
78,sbv.gov.vn,2005-07-24,1,0,0,0
79,sbv.gov.vn,2005-07-25,1,3,0,0
80,sbv.gov.vn,2005-07-26,2,0,0,0
81,sbv.gov.vn,2005-08-04,1,0,0,0
82,sbv.gov.vn,2005-08-09,1,0,0,0
83,sbv.gov.vn,2005-08-15,1,81,0,18
84,sbv.gov.vn,2005-08-21,1,0,0,0
85,sbv.gov.vn,2005-08-22,1,12,0,0
86,sbv.gov.vn,2005-08-24,1,0,0,0
87,sbv.gov.vn,2005-08-25,1,4,0,0
88,sbv.gov.vn,2005-08-31,1,0,0,0
89,sbv.gov.vn,2005-09-13,1,4,0,2
90,sbv.gov.vn,2005-09-15,1,0,0,0
91,sbv.gov.vn,2005-09-19,2,0,0,0
92,sbv.gov.vn,2005-09-26,1,0,0,0
93,sbv.gov.vn,2005-09-27,1,0,0,0
94,sbv.gov.vn,2005-09-28,3,0,0,0
95,sbv.gov.vn,2005-10-03,1,0,0,0
96,sbv.gov.vn,2005-10-04,2,0,0,0
97,sbv.gov.vn,2005-10-05,1,0,0,0
98,sbv.gov.vn,2005-10-06,2,0,0,0
99,sbv.gov.vn,2005-10-09,1,0,0,0
100,sbv.gov.vn,2005-10-10,5,36,0,0
101,sbv.gov.vn,2005-10-11,2,0,0,0
102,sbv.gov.vn,2005-10-12,2,0,0,0
103,sbv.gov.vn,2005-10-13,4,0,0,80
104,sbv.gov.vn,2005-10-17,1,0,0,0
105,sbv.gov.vn,2005-10-18,3,0,0,0
106,sbv.gov.vn,2005-10-20,2,0,0,0
107,sbv.gov.vn,2005-10-23,1,0,0,0
108,sbv.gov.vn,2005-10-24,1,0,0,0
109,sbv.gov.vn,2005-10-26,1,0,0,0
110,sbv.gov.vn,2005-10-27,2,0,0,0
111,sbv.gov.vn,2005-10-30,1,0,0,0
112,sbv.gov.vn,2005-10-31,1,0,0,0
113,sbv.gov.vn,2005-11-02,1,0,0,0
114,sbv.gov.vn,2005-11-06,2,0,0,0
115,sbv.gov.vn,2005-11-09,1,0,0,0
116,sbv.gov.vn,2005-11-10,2,0,0,0
117,sbv.gov.vn,2005-11-13,1,0,0,0
118,sbv.gov.vn,2005-11-15,1,0,0,0
119,sbv.gov.vn,2005-11-16,1,0,0,0
120,sbv.gov.vn,2005-11-22,1,0,0,0
121,sbv.gov.vn,2005-11-28,2,6,0,0
122,sbv.gov.vn,2005-11-30,1,6,0,0
123,sbv.gov.vn,2005-12-01,1,0,0,0
124,sbv.gov.vn,2005-12-04,1,0,0,0
125,sbv.gov.vn,2005-12-05,2,0,0,0
126,sbv.gov.vn,2005-12-08,1,0,0,0
127,sbv.gov.vn,2005-12-11,1,30,0,0
128,sbv.gov.vn,2005-12-12,1,0,0,0
129,sbv.gov.vn,2005-12-13,1,2,0,0
130,sbv.gov.vn,2005-12-19,1,60,0,0
131,sbv.gov.vn,2005-12-21,1,0,0,0
132,sbv.gov.vn,2005-12-22,2,0,0,0
133,sbv.gov.vn,2005-12-26,2,0,0,0
134,sbv.gov.vn,2005-12-29,1,0,0,0
135,sbv.gov.vn,2006-01-03,1,0,0,0
136,sbv.gov.vn,2006-01-04,1,18,0,0
137,sbv.gov.vn,2006-01-09,1,0,0,0
138,sbv.gov.vn,2006-01-10,1,0,0,160
139,sbv.gov.vn,2006-01-11,2,0,0,0
140,sbv.gov.vn,2006-01-15,1,0,0,0
141,sbv.gov.vn,2006-01-16,1,0,0,0
142,sbv.gov.vn,2006-01-18,1,2,0,0
143,sbv.gov.vn,2006-01-22,1,2,0,0
144,sbv.gov.vn,2006-01-24,1,36,6,0
145,sbv.gov.vn,2006-02-05,2,0,24,30
146,sbv.gov.vn,2006-02-06,2,0,0,0
147,sbv.gov.vn,2006-02-09,3,0,0,0
148,sbv.gov.vn,2006-02-13,1,2,0,6
149,sbv.gov.vn,2006-02-14,2,0,0,0
150,sbv.gov.vn,2006-02-19,3,0,0,0
151,sbv.gov.vn,2006-02-21,2,0,0,0
152,sbv.gov.vn,2006-02-22,2,0,0,0
153,sbv.gov.vn,2006-02-27,1,0,0,0
154,sbv.gov.vn,2006-03-05,2,0,0,30
155,sbv.gov.vn,2006-03-06,1,0,0,0
156,sbv.gov.vn,2006-03-12,1,0,0,0
157,sbv.gov.vn,2006-03-13,1,6,0,0
158,sbv.gov.vn,2006-03-14,1,12,0,0
159,sbv.gov.vn,2006-03-15,1,0,0,0
160,sbv.gov.vn,2006-03-19,1,0,0,0
161,sbv.gov.vn,2006-03-29,1,0,0,0
162,sbv.gov.vn,2006-04-03,1,0,0,0
163,sbv.gov.vn,2006-04-04,2,0,0,0
164,sbv.gov.vn,2006-04-05,2,32,0,50
165,sbv.gov.vn,2006-04-06,2,0,0,0
166,sbv.gov.vn,2006-04-12,1,0,0,0
167,sbv.gov.vn,2006-04-13,1,0,0,0
168,sbv.gov.vn,2006-04-16,1,0,0,0
169,sbv.gov.vn,2006-04-17,1,0,0,0
170,sbv.gov.vn,2006-04-18,2,4,1,0
171,sbv.gov.vn,2006-04-20,1,0,0,0
172,sbv.gov.vn,2006-04-24,2,0,0,0
173,sbv.gov.vn,2006-05-02,1,0,0,0
174,sbv.gov.vn,2006-05-04,1,9,12,0
175,sbv.gov.vn,2006-05-07,3,21,0,17
176,sbv.gov.vn,2006-05-08,2,0,0,0
177,sbv.gov.vn,2006-05-10,3,2,0,0
178,sbv.gov.vn,2006-05-11,1,0,0,0
179,sbv.gov.vn,2006-05-16,1,16,0,40
180,sbv.gov.vn,2006-05-18,1,0,0,0
181,sbv.gov.vn,2006-05-21,1,0,0,0
182,sbv.gov.vn,2006-05-23,2,6,0,0
183,sbv.gov.vn,2006-05-24,1,0,0,0
184,sbv.gov.vn,2006-05-31,3,2,0,0
185,sbv.gov.vn,2006-06-01,2,12,0,60
186,sbv.gov.vn,2006-06-04,2,0,0,0
187,sbv.gov.vn,2006-06-06,1,0,0,0
188,sbv.gov.vn,2006-06-07,2,0,0,0
189,sbv.gov.vn,2006-06-08,2,0,0,0
190,sbv.gov.vn,2006-06-12,1,0,0,0
191,sbv.gov.vn,2006-06-13,1,0,0,0
192,sbv.gov.vn,2006-06-15,2,450,120,432
193,sbv.gov.vn,2006-06-18,2,0,0,0
194,sbv.gov.vn,2006-06-20,3,0,0,0
195,sbv.gov.vn,2006-06-21,2,0,0,0
196,sbv.gov.vn,2006-06-22,1,0,0,0
197,sbv.gov.vn,2006-06-25,2,0,0,0
198,sbv.gov.vn,2006-06-27,1,0,0,0
199,sbv.gov.vn,2006-06-28,1,0,0,0
200,sbv.gov.vn,2006-06-29,1,0,0,0
201,sbv.gov.vn,2006-07-03,2,0,0,0
202,sbv.gov.vn,2006-07-04,2,5,0,4
203,sbv.gov.vn,2006-07-05,1,0,0,0
204,sbv.gov.vn,2006-07-06,3,0,0,0
205,sbv.gov.vn,2006-07-09,3,0,0,0
206,sbv.gov.vn,2006-07-10,3,0,0,0
207,sbv.gov.vn,2006-07-11,3,0,0,0
208,sbv.gov.vn,2006-07-13,3,0,0,0
