,PAPER,TIME,trade_index,fiscal_index,monetary_index
0,vietnamnet.vn,01/01/2011,18,0,18
1,vietnamnet.vn,01/01/2012,0,0,0
2,vietnamnet.vn,01/01/2013,2,0,0
3,vietnamnet.vn,01/01/2014,30,22,24
4,vietnamnet.vn,01/01/2015,128,76,98
5,vietnamnet.vn,01/01/2016,10,0,0
6,vietnamnet.vn,01/01/2017,49,10,54
7,vietnamnet.vn,01/01/2018,1,0,0
8,vietnamnet.vn,01/01/2019,16,4,28
9,vietnamnet.vn,01/01/2020,16,4,8
10,vietnamnet.vn,01/01/2021,54,6,18
11,vietnamnet.vn,01/01/2022,67,12,16
12,vietnamnet.vn,01/01/2023,45,0,0
13,vietnamnet.vn,01/02/2011,0,0,0
14,vietnamnet.vn,01/02/2012,0,0,0
15,vietnamnet.vn,01/02/2013,0,0,0
16,vietnamnet.vn,01/02/2014,4,0,0
17,vietnamnet.vn,01/02/2016,0,0,0
18,vietnamnet.vn,01/02/2017,6,2,2
19,vietnamnet.vn,01/02/2018,6,2,28
20,vietnamnet.vn,01/02/2019,8,16,120
21,vietnamnet.vn,01/02/2020,2,0,12
22,vietnamnet.vn,01/02/2021,13,0,1
23,vietnamnet.vn,01/02/2022,10,6,60
24,vietnamnet.vn,01/02/2023,8,3,32
25,vietnamnet.vn,01/03/2011,0,0,0
26,vietnamnet.vn,01/03/2012,4,0,3
27,vietnamnet.vn,01/03/2013,0,0,0
28,vietnamnet.vn,01/03/2016,1,0,0
29,vietnamnet.vn,01/03/2017,10,5,1
30,vietnamnet.vn,01/03/2018,11,18,76
31,vietnamnet.vn,01/03/2020,9,0,16
32,vietnamnet.vn,01/03/2021,10,3,3
33,vietnamnet.vn,01/03/2022,72,1,32
34,vietnamnet.vn,01/03/2023,42,24,111
35,vietnamnet.vn,01/04/2011,0,0,0
36,vietnamnet.vn,01/04/2012,0,0,0
37,vietnamnet.vn,01/04/2013,1,0,0
38,vietnamnet.vn,01/04/2014,0,6,0
39,vietnamnet.vn,01/04/2015,0,2,0
40,vietnamnet.vn,01/04/2016,24,0,0
41,vietnamnet.vn,01/04/2017,2,0,0
42,vietnamnet.vn,01/04/2018,22,1,1
43,vietnamnet.vn,01/04/2019,15,0,0
44,vietnamnet.vn,01/04/2020,116,24,24
45,vietnamnet.vn,01/04/2021,15,12,84
46,vietnamnet.vn,01/04/2022,30,1,0
47,vietnamnet.vn,01/04/2023,16,0,8
48,vietnamnet.vn,01/05/2011,0,0,0
49,vietnamnet.vn,01/05/2012,0,0,0
50,vietnamnet.vn,01/05/2013,0,0,0
51,vietnamnet.vn,01/05/2014,0,0,0
52,vietnamnet.vn,01/05/2015,0,4,0
53,vietnamnet.vn,01/05/2016,0,9,0
54,vietnamnet.vn,01/05/2017,12,3,6
55,vietnamnet.vn,01/05/2018,165,49,34
56,vietnamnet.vn,01/05/2020,3,0,8
57,vietnamnet.vn,01/05/2021,4,0,0
58,vietnamnet.vn,01/05/2022,13,5,8
59,vietnamnet.vn,01/05/2023,12,0,11
60,vietnamnet.vn,01/06/2011,15,1,39
61,vietnamnet.vn,01/06/2012,5,0,0
62,vietnamnet.vn,01/06/2013,6,6,24
63,vietnamnet.vn,01/06/2014,12,0,0
64,vietnamnet.vn,01/06/2015,0,0,0
65,vietnamnet.vn,01/06/2016,11,0,2
66,vietnamnet.vn,01/06/2017,6,2,56
67,vietnamnet.vn,01/06/2018,81,19,39
68,vietnamnet.vn,01/06/2020,0,0,0
69,vietnamnet.vn,01/06/2021,14,0,0
70,vietnamnet.vn,01/06/2022,64,0,144
71,vietnamnet.vn,01/06/2023,43,12,12
72,vietnamnet.vn,01/07/2011,0,0,0
73,vietnamnet.vn,01/07/2012,12,18,96
74,vietnamnet.vn,01/07/2013,72,0,34
75,vietnamnet.vn,01/07/2014,2,0,0
76,vietnamnet.vn,01/07/2015,13,0,4
77,vietnamnet.vn,01/07/2016,15,0,36
78,vietnamnet.vn,01/07/2017,2,0,48
79,vietnamnet.vn,01/07/2018,0,38,28
80,vietnamnet.vn,01/07/2019,128,2,2
81,vietnamnet.vn,01/07/2020,3,0,0
82,vietnamnet.vn,01/07/2022,0,0,0
83,vietnamnet.vn,01/08/2011,0,0,0
84,vietnamnet.vn,01/08/2012,10,6,0
85,vietnamnet.vn,01/08/2013,47,0,0
86,vietnamnet.vn,01/08/2014,24,0,0
87,vietnamnet.vn,01/08/2015,18,1,60
88,vietnamnet.vn,01/08/2016,0,12,0
89,vietnamnet.vn,01/08/2017,0,0,0
90,vietnamnet.vn,01/08/2018,32,4,48
91,vietnamnet.vn,01/08/2019,16,0,24
92,vietnamnet.vn,01/08/2020,13,0,91
93,vietnamnet.vn,01/08/2021,49,2,6
94,vietnamnet.vn,01/08/2022,6,0,72
95,vietnamnet.vn,01/09/2011,90,8,152
96,vietnamnet.vn,01/09/2012,175,3,123
97,vietnamnet.vn,01/09/2014,0,0,0
98,vietnamnet.vn,01/09/2015,10,0,0
99,vietnamnet.vn,01/09/2016,18,13,12
100,vietnamnet.vn,01/09/2017,17,3,39
101,vietnamnet.vn,01/09/2018,80,56,40
102,vietnamnet.vn,01/09/2019,0,0,0
103,vietnamnet.vn,01/09/2020,39,14,126
104,vietnamnet.vn,01/09/2021,18,8,103
105,vietnamnet.vn,01/09/2022,3,0,4
106,vietnamnet.vn,01/10/2010,0,0,0
107,vietnamnet.vn,01/10/2011,0,0,0
108,vietnamnet.vn,01/10/2012,24,1,0
109,vietnamnet.vn,01/10/2013,50,18,0
110,vietnamnet.vn,01/10/2014,12,9,0
111,vietnamnet.vn,01/10/2015,8,0,0
112,vietnamnet.vn,01/10/2016,4,0,6
113,vietnamnet.vn,01/10/2017,0,0,8
114,vietnamnet.vn,01/10/2018,8,0,0
115,vietnamnet.vn,01/10/2019,44,9,6
116,vietnamnet.vn,01/10/2020,49,1,0
117,vietnamnet.vn,01/10/2021,35,40,193
118,vietnamnet.vn,01/10/2022,36,16,28
119,vietnamnet.vn,01/11/2011,0,0,0
120,vietnamnet.vn,01/11/2012,13,1,1
121,vietnamnet.vn,01/11/2014,90,20,0
122,vietnamnet.vn,01/11/2015,6,0,0
123,vietnamnet.vn,01/11/2016,6,0,0
124,vietnamnet.vn,01/11/2018,30,6,15
125,vietnamnet.vn,01/11/2019,37,3,104
126,vietnamnet.vn,01/11/2020,2,6,4
127,vietnamnet.vn,01/11/2021,88,0,2
128,vietnamnet.vn,01/11/2022,30,0,27
129,vietnamnet.vn,01/12/2010,0,0,0
130,vietnamnet.vn,01/12/2011,0,0,0
131,vietnamnet.vn,01/12/2012,0,0,0
132,vietnamnet.vn,01/12/2014,0,6,0
133,vietnamnet.vn,01/12/2015,12,0,0
134,vietnamnet.vn,01/12/2016,0,0,0
135,vietnamnet.vn,01/12/2017,4,30,12
136,vietnamnet.vn,01/12/2018,28,3,24
137,vietnamnet.vn,01/12/2019,0,0,0
138,vietnamnet.vn,01/12/2020,4,0,0
139,vietnamnet.vn,01/12/2021,17,8,24
140,vietnamnet.vn,01/12/2022,14,8,30
141,vietnamnet.vn,02/01/2011,36,0,72
142,vietnamnet.vn,02/01/2012,0,0,0
143,vietnamnet.vn,02/01/2013,0,108,120
144,vietnamnet.vn,02/01/2014,0,0,0
145,vietnamnet.vn,02/01/2015,30,0,0
146,vietnamnet.vn,02/01/2016,0,0,0
147,vietnamnet.vn,02/01/2017,50,12,1
148,vietnamnet.vn,02/01/2018,36,11,30
149,vietnamnet.vn,02/01/2019,2,0,0
150,vietnamnet.vn,02/01/2020,98,17,422
151,vietnamnet.vn,02/01/2021,15,10,24
152,vietnamnet.vn,02/01/2022,50,16,16
153,vietnamnet.vn,02/01/2023,89,53,192
154,vietnamnet.vn,02/02/2011,0,0,0
155,vietnamnet.vn,02/02/2012,0,0,0
156,vietnamnet.vn,02/02/2013,0,0,0
157,vietnamnet.vn,02/02/2014,0,0,0
158,vietnamnet.vn,02/02/2015,0,0,0
159,vietnamnet.vn,02/02/2016,9,4,18
160,vietnamnet.vn,02/02/2017,3,0,0
161,vietnamnet.vn,02/02/2018,13,14,117
162,vietnamnet.vn,02/02/2019,6,2,16
163,vietnamnet.vn,02/02/2020,1,0,0
164,vietnamnet.vn,02/02/2021,83,6,16
165,vietnamnet.vn,02/02/2022,45,30,109
166,vietnamnet.vn,02/02/2023,32,28,180
167,vietnamnet.vn,02/03/2011,0,0,0
168,vietnamnet.vn,02/03/2012,0,0,0
169,vietnamnet.vn,02/03/2013,8,0,40
170,vietnamnet.vn,02/03/2014,0,0,0
171,vietnamnet.vn,02/03/2016,0,0,0
172,vietnamnet.vn,02/03/2017,10,4,4
173,vietnamnet.vn,02/03/2018,2,4,57
174,vietnamnet.vn,02/03/2019,0,0,0
175,vietnamnet.vn,02/03/2020,23,4,18
176,vietnamnet.vn,02/03/2021,33,28,72
177,vietnamnet.vn,02/03/2022,64,29,9
178,vietnamnet.vn,02/03/2023,18,6,56
179,vietnamnet.vn,02/04/2011,0,0,0
180,vietnamnet.vn,02/04/2012,0,0,0
181,vietnamnet.vn,02/04/2013,18,6,0
182,vietnamnet.vn,02/04/2014,2,0,0
183,vietnamnet.vn,02/04/2015,0,0,0
184,vietnamnet.vn,02/04/2016,0,0,0
185,vietnamnet.vn,02/04/2017,12,0,24
186,vietnamnet.vn,02/04/2018,116,10,106
187,vietnamnet.vn,02/04/2019,10,5,158
188,vietnamnet.vn,02/04/2020,28,9,0
189,vietnamnet.vn,02/04/2021,12,2,6
190,vietnamnet.vn,02/04/2022,17,7,12
191,vietnamnet.vn,02/04/2023,63,24,20
192,vietnamnet.vn,02/05/2011,0,0,0
193,vietnamnet.vn,02/05/2012,4,0,0
194,vietnamnet.vn,02/05/2013,0,0,0
195,vietnamnet.vn,02/05/2014,7,0,0
196,vietnamnet.vn,02/05/2015,0,0,2
197,vietnamnet.vn,02/05/2016,24,4,16
198,vietnamnet.vn,02/05/2017,14,8,6
199,vietnamnet.vn,02/05/2018,9,0,64
200,vietnamnet.vn,02/05/2019,4,0,0
201,vietnamnet.vn,02/05/2020,10,3,8
202,vietnamnet.vn,02/05/2021,45,14,36
203,vietnamnet.vn,02/05/2022,16,0,13
204,vietnamnet.vn,02/05/2023,10,2,18
205,vietnamnet.vn,02/06/2011,0,0,2
206,vietnamnet.vn,02/06/2012,17,0,0
207,vietnamnet.vn,02/06/2013,0,0,0
208,vietnamnet.vn,02/06/2014,13,0,4
209,vietnamnet.vn,02/06/2015,0,0,0
210,vietnamnet.vn,02/06/2016,0,0,0
211,vietnamnet.vn,02/06/2017,24,0,0
212,vietnamnet.vn,02/06/2018,23,0,0
213,vietnamnet.vn,02/06/2019,72,18,0
214,vietnamnet.vn,02/06/2020,44,4,0
215,vietnamnet.vn,02/06/2021,45,10,78
216,vietnamnet.vn,02/06/2022,31,28,36
217,vietnamnet.vn,02/06/2023,0,6,2
218,vietnamnet.vn,02/07/2011,2,0,0
219,vietnamnet.vn,02/07/2012,100,40,136
220,vietnamnet.vn,02/07/2013,26,0,31
221,vietnamnet.vn,02/07/2014,2,0,0
222,vietnamnet.vn,02/07/2015,0,0,0
223,vietnamnet.vn,02/07/2016,48,18,16
224,vietnamnet.vn,02/07/2017,7,0,0
225,vietnamnet.vn,02/07/2018,54,28,32
226,vietnamnet.vn,02/07/2019,173,36,24
227,vietnamnet.vn,02/07/2020,13,0,6
228,vietnamnet.vn,02/07/2021,92,0,0
229,vietnamnet.vn,02/07/2022,4,6,18
230,vietnamnet.vn,02/08/2011,4,4,0
231,vietnamnet.vn,02/08/2012,72,8,1
232,vietnamnet.vn,02/08/2013,4,0,1
233,vietnamnet.vn,02/08/2014,0,0,0
234,vietnamnet.vn,02/08/2016,18,0,16
235,vietnamnet.vn,02/08/2017,10,0,18
236,vietnamnet.vn,02/08/2018,2,0,0
237,vietnamnet.vn,02/08/2019,36,0,0
238,vietnamnet.vn,02/08/2020,0,0,0
239,vietnamnet.vn,02/08/2021,9,0,0
240,vietnamnet.vn,02/08/2022,45,13,25
241,vietnamnet.vn,02/09/2011,24,0,12
242,vietnamnet.vn,02/09/2012,0,0,0
243,vietnamnet.vn,02/09/2013,0,0,0
244,vietnamnet.vn,02/09/2014,4,0,0
245,vietnamnet.vn,02/09/2016,8,6,24
246,vietnamnet.vn,02/09/2017,0,0,0
247,vietnamnet.vn,02/09/2018,74,22,15
248,vietnamnet.vn,02/09/2019,4,3,2
249,vietnamnet.vn,02/09/2020,55,12,33
250,vietnamnet.vn,02/09/2021,41,0,1
251,vietnamnet.vn,02/09/2022,17,0,10
252,vietnamnet.vn,02/10/2010,0,0,0
253,vietnamnet.vn,02/10/2012,4,0,8
254,vietnamnet.vn,02/10/2013,0,0,0
255,vietnamnet.vn,02/10/2014,2,0,0
256,vietnamnet.vn,02/10/2015,13,0,0
257,vietnamnet.vn,02/10/2016,2,1,0
258,vietnamnet.vn,02/10/2017,0,0,1
259,vietnamnet.vn,02/10/2018,102,15,56
260,vietnamnet.vn,02/10/2019,31,12,27
261,vietnamnet.vn,02/10/2020,46,9,20
262,vietnamnet.vn,02/10/2021,52,18,36
263,vietnamnet.vn,02/10/2022,2,0,6
264,vietnamnet.vn,02/11/2011,0,0,0
265,vietnamnet.vn,02/11/2012,12,1,2
266,vietnamnet.vn,02/11/2013,0,1,0
267,vietnamnet.vn,02/11/2015,37,4,0
268,vietnamnet.vn,02/11/2016,103,16,58
269,vietnamnet.vn,02/11/2017,2,14,0
270,vietnamnet.vn,02/11/2018,18,18,0
271,vietnamnet.vn,02/11/2019,1,10,6
272,vietnamnet.vn,02/11/2020,34,0,66
273,vietnamnet.vn,02/11/2021,94,32,36
274,vietnamnet.vn,02/11/2022,3,0,0
275,vietnamnet.vn,02/12/2010,0,0,0
276,vietnamnet.vn,02/12/2011,0,0,0
277,vietnamnet.vn,02/12/2012,0,0,2
278,vietnamnet.vn,02/12/2014,0,0,0
279,vietnamnet.vn,02/12/2015,35,10,6
280,vietnamnet.vn,02/12/2016,8,4,2
281,vietnamnet.vn,02/12/2017,8,0,12
282,vietnamnet.vn,02/12/2018,24,0,12
283,vietnamnet.vn,02/12/2019,41,5,12
284,vietnamnet.vn,02/12/2020,25,46,48
285,vietnamnet.vn,02/12/2021,20,6,90
286,vietnamnet.vn,02/12/2022,41,30,32
287,vietnamnet.vn,03/01/2011,0,0,0
288,vietnamnet.vn,03/01/2012,0,0,0
289,vietnamnet.vn,03/01/2013,18,0,0
290,vietnamnet.vn,03/01/2014,0,0,0
291,vietnamnet.vn,03/01/2018,34,8,72
292,vietnamnet.vn,03/01/2019,406,310,736
