,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
0,vietnamnet.vn,2010-09-23,1,0,0,0
1,vietnamnet.vn,2010-09-28,1,0,0,0
2,vietnamnet.vn,2010-10-01,1,0,0,0
3,vietnamnet.vn,2010-10-02,1,0,0,0
4,vietnamnet.vn,2010-10-04,1,0,0,0
5,vietnamnet.vn,2010-10-08,6,66,0,0
6,vietnamnet.vn,2010-10-09,1,0,0,0
7,vietnamnet.vn,2010-11-05,2,0,0,0
8,vietnamnet.vn,2010-11-08,1,0,0,0
9,vietnamnet.vn,2010-11-22,1,12,16,0
10,vietnamnet.vn,2010-11-23,20,8,0,6
11,vietnamnet.vn,2010-11-24,14,252,90,144
12,vietnamnet.vn,2010-11-25,10,2,0,0
13,vietnamnet.vn,2010-11-26,3,0,0,0
14,vietnamnet.vn,2010-11-27,2,0,0,0
15,vietnamnet.vn,2010-11-28,7,0,0,0
16,vietnamnet.vn,2010-11-29,16,8,4,0
17,vietnamnet.vn,2010-11-30,14,0,0,0
18,vietnamnet.vn,2010-12-01,9,0,0,0
19,vietnamnet.vn,2010-12-02,13,0,0,0
20,vietnamnet.vn,2010-12-03,13,0,24,60
21,vietnamnet.vn,2010-12-04,9,0,0,0
22,vietnamnet.vn,2010-12-05,3,0,0,0
23,vietnamnet.vn,2010-12-06,4,0,0,0
24,vietnamnet.vn,2010-12-09,13,0,0,0
25,vietnamnet.vn,2010-12-10,12,12,0,8
26,vietnamnet.vn,2010-12-12,5,0,0,0
27,vietnamnet.vn,2010-12-13,10,0,0,0
28,vietnamnet.vn,2010-12-14,12,0,0,0
29,vietnamnet.vn,2010-12-15,11,0,0,0
30,vietnamnet.vn,2010-12-16,13,0,0,0
31,vietnamnet.vn,2010-12-17,11,0,0,0
32,vietnamnet.vn,2010-12-18,10,0,0,0
33,vietnamnet.vn,2010-12-19,5,0,0,0
34,vietnamnet.vn,2010-12-20,8,0,0,0
35,vietnamnet.vn,2010-12-21,13,0,0,0
36,vietnamnet.vn,2010-12-22,3,0,0,0
37,vietnamnet.vn,2010-12-23,2,0,0,0
38,vietnamnet.vn,2010-12-24,14,4,0,6
39,vietnamnet.vn,2010-12-25,9,4,0,0
40,vietnamnet.vn,2010-12-26,7,0,0,0
41,vietnamnet.vn,2010-12-27,14,0,0,0
42,vietnamnet.vn,2010-12-28,2,0,0,0
43,vietnamnet.vn,2010-12-30,9,0,0,0
44,vietnamnet.vn,2010-12-31,9,0,0,0
45,vietnamnet.vn,2011-01-01,9,18,0,18
46,vietnamnet.vn,2011-01-02,9,36,0,72
47,vietnamnet.vn,2011-01-03,8,0,0,0
48,vietnamnet.vn,2011-01-04,6,0,0,0
49,vietnamnet.vn,2011-01-05,10,2,0,0
50,vietnamnet.vn,2011-01-06,10,0,0,0
51,vietnamnet.vn,2011-01-07,12,15,0,0
52,vietnamnet.vn,2011-01-08,11,4,0,4
53,vietnamnet.vn,2011-01-09,8,0,0,0
54,vietnamnet.vn,2011-01-10,15,0,0,10
55,vietnamnet.vn,2011-01-11,13,6,0,14
56,vietnamnet.vn,2011-01-12,12,2,0,0
57,vietnamnet.vn,2011-01-13,13,8,0,24
58,vietnamnet.vn,2011-01-14,11,0,0,0
59,vietnamnet.vn,2011-01-15,9,0,0,0
60,vietnamnet.vn,2011-01-16,5,0,0,0
61,vietnamnet.vn,2011-01-17,15,16,90,135
62,vietnamnet.vn,2011-01-18,11,0,0,0
63,vietnamnet.vn,2011-01-20,5,0,0,0
64,vietnamnet.vn,2011-01-21,16,0,0,0
65,vietnamnet.vn,2011-01-22,4,0,0,0
66,vietnamnet.vn,2011-01-23,10,0,0,0
67,vietnamnet.vn,2011-01-24,11,4,0,0
68,vietnamnet.vn,2011-01-25,12,0,0,0
69,vietnamnet.vn,2011-01-26,11,0,0,0
70,vietnamnet.vn,2011-01-27,10,0,0,0
71,vietnamnet.vn,2011-01-28,9,0,0,0
72,vietnamnet.vn,2011-01-29,6,0,0,0
73,vietnamnet.vn,2011-01-30,13,0,0,0
74,vietnamnet.vn,2011-01-31,11,0,0,0
75,vietnamnet.vn,2011-02-01,9,0,0,0
76,vietnamnet.vn,2011-02-02,8,0,0,0
77,vietnamnet.vn,2011-02-03,7,0,0,0
78,vietnamnet.vn,2011-02-04,6,0,0,0
79,vietnamnet.vn,2011-02-05,5,0,0,0
80,vietnamnet.vn,2011-02-06,4,0,0,0
81,vietnamnet.vn,2011-02-07,7,0,0,0
82,vietnamnet.vn,2011-02-08,10,0,0,0
83,vietnamnet.vn,2011-02-09,14,0,0,0
84,vietnamnet.vn,2011-02-10,12,0,0,0
85,vietnamnet.vn,2011-02-11,15,0,0,0
86,vietnamnet.vn,2011-02-12,10,0,0,0
87,vietnamnet.vn,2011-02-13,10,0,0,0
88,vietnamnet.vn,2011-02-14,6,0,0,0
89,vietnamnet.vn,2011-02-17,2,0,0,0
90,vietnamnet.vn,2011-02-18,14,0,0,0
91,vietnamnet.vn,2011-02-19,8,0,0,0
92,vietnamnet.vn,2011-02-24,2,0,0,0
93,vietnamnet.vn,2011-02-25,15,16,20,150
94,vietnamnet.vn,2011-02-26,8,0,0,0
95,vietnamnet.vn,2011-02-28,8,0,0,0
96,vietnamnet.vn,2011-03-01,18,0,0,0
97,vietnamnet.vn,2011-03-02,14,0,0,0
98,vietnamnet.vn,2011-03-03,15,0,0,1
99,vietnamnet.vn,2011-03-04,6,0,0,0
100,vietnamnet.vn,2011-03-05,9,0,0,0
101,vietnamnet.vn,2011-03-06,9,0,0,0
102,vietnamnet.vn,2011-03-07,16,0,0,0
103,vietnamnet.vn,2011-03-08,7,0,0,0
104,vietnamnet.vn,2011-03-09,19,36,2,0
105,vietnamnet.vn,2011-03-10,13,0,0,0
106,vietnamnet.vn,2011-03-11,16,0,0,8
107,vietnamnet.vn,2011-03-12,11,0,0,0
108,vietnamnet.vn,2011-03-13,11,0,0,0
109,vietnamnet.vn,2011-03-14,8,0,0,0
110,vietnamnet.vn,2011-03-17,22,0,0,0
111,vietnamnet.vn,2011-03-18,20,0,0,0
112,vietnamnet.vn,2011-03-19,11,0,0,0
113,vietnamnet.vn,2011-03-20,11,0,0,8
114,vietnamnet.vn,2011-03-21,23,59,0,6
115,vietnamnet.vn,2011-03-22,10,0,0,0
116,vietnamnet.vn,2011-03-23,21,0,0,0
117,vietnamnet.vn,2011-03-24,14,0,0,0
118,vietnamnet.vn,2011-03-25,16,0,0,0
119,vietnamnet.vn,2011-03-26,15,0,0,0
120,vietnamnet.vn,2011-03-27,1,0,0,0
121,vietnamnet.vn,2011-03-28,2,0,0,0
122,vietnamnet.vn,2011-03-29,20,9,0,0
123,vietnamnet.vn,2011-03-30,18,0,0,0
124,vietnamnet.vn,2011-03-31,14,0,0,0
125,vietnamnet.vn,2011-04-01,17,0,0,0
126,vietnamnet.vn,2011-04-02,11,0,0,0
127,vietnamnet.vn,2011-04-03,13,0,0,0
128,vietnamnet.vn,2011-04-04,5,0,0,0
129,vietnamnet.vn,2011-04-05,14,0,0,0
130,vietnamnet.vn,2011-04-06,13,2,0,4
131,vietnamnet.vn,2011-04-07,17,0,0,0
132,vietnamnet.vn,2011-04-08,16,1,0,1
133,vietnamnet.vn,2011-04-09,8,0,0,0
134,vietnamnet.vn,2011-04-11,3,0,0,0
135,vietnamnet.vn,2011-04-12,15,0,0,0
136,vietnamnet.vn,2011-04-13,9,0,0,0
137,vietnamnet.vn,2011-04-14,16,0,0,0
138,vietnamnet.vn,2011-04-15,14,0,0,0
139,vietnamnet.vn,2011-04-18,14,1,0,0
140,vietnamnet.vn,2011-04-19,10,0,0,0
141,vietnamnet.vn,2011-04-20,14,0,0,4
142,vietnamnet.vn,2011-04-21,12,0,0,0
143,vietnamnet.vn,2011-04-22,19,0,0,0
144,vietnamnet.vn,2011-04-23,12,0,0,0
145,vietnamnet.vn,2011-04-24,16,0,0,0
146,vietnamnet.vn,2011-04-25,11,6,0,2
147,vietnamnet.vn,2011-04-26,7,0,0,0
148,vietnamnet.vn,2011-04-28,3,0,0,0
149,vietnamnet.vn,2011-04-29,17,12,1,4
150,vietnamnet.vn,2011-04-30,16,0,0,0
151,vietnamnet.vn,2011-05-01,14,0,0,0
152,vietnamnet.vn,2011-05-02,9,0,0,0
153,vietnamnet.vn,2011-05-03,10,0,0,0
154,vietnamnet.vn,2011-05-04,16,0,0,1
